Year,Major(s),Living Situation,Involvements,12am-1am,1am-2am,2am-3am,3am-4am,4am-5am,5am-6am,6am-7am,7am-8am,8am-9am,9am-10am,10am-11am,11am-12pm,12pm-1pm,1pm-2pm,2pm-3pm,3pm-4pm,4pm-5pm,5pm-6pm,6pm-7pm,7pm-8pm,8pm-9pm,9pm-10pm,10pm-11pm,11pm-12am,Other
Junior,"CS, DS",On-Campus Housing,"Varsity Athlete, Greek Life",Leisure/Entertainment,Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Studying/Homework,Class,Class,Class,Class,Class,Class,Meals,Meals,Social Time,Social Time,Social Time,Social Time,Social Time,
Senior,CE,Greek Housing,"Club Sports, Greek Life",Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Work,Meals,Work,Work,Work,Social Time,Social Time,Meals,Work,Leisure/Entertainment,Exercise/Sports/Practice,Exercise/Sports/Practice,Social Time,Social Time,Exercise / Practice category includes Club Sport.
Junior,ME,Greek Housing,"Club Sports, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Work,Work,Work,Work,Class,Exercise/Sports/Practice,Exercise/Sports/Practice,Class,Studying/Homework,Meals,Clubs/Organizations,Clubs/Organizations,Social Time,Social Time,Studying/Homework,Studying/Homework,
Junior,AR,Off-Campus Housing,Greek Life,Studying/Homework,Studying/Homework,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Personal Care,Personal Care,Exercise/Sports/Practice,Sleeping,Studying/Homework,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Studying/Homework,Studying/Homework,
Sophomore,ECE,Off-Campus Housing,"Varsity Athlete, Academic Clubs, Greek Life",Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Class,Class,Meals,Meals,Class,Studying/Homework,Class,Exercise/Sports/Practice,Exercise/Sports/Practice,Social Time,Chores/Housework,Studying/Homework,Studying/Homework,Leisure/Entertainment,Leisure/Entertainment,
Senior,BME,Commuter,"Performing Arts, Academic Clubs, Research",Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Personal Care,Traveling/Commuting,Studying/Homework,Studying/Homework,Work,Work,Work,Studying/Homework,Studying/Homework,Studying/Homework,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Personal Care,Personal Care,
Senior,CS,Greek Housing,Greek Life,Personal Care,Personal Care,Personal Care,Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Class,Class,Meals,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,
Senior,ECE,Off-Campus Housing,Academic Clubs,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Meals,Class,Class,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Clubs/Organizations,Meals,Studying/Homework,Studying/Homework,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,
Senior,"CS, DS",Greek Housing,Greek Life,Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Meals,Class,Class,Class,Class,Studying/Homework,Studying/Homework,Studying/Homework,Meals,Studying/Homework,Studying/Homework,Personal Care,Personal Care,Meals,
Junior,ME,Off-Campus Housing,"Varsity Athlete, Greek Life, SAP",Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Exercise/Sports/Practice,Exercise/Sports/Practice,Sleeping,Meals,Class,Class,Meals,Work,Studying/Homework,Studying/Homework,Class,Work,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Personal Care,Personal Care,Studying/Homework,Studying/Homework,
Senior,BioChem ,Off-Campus Housing,"Academic Clubs, Research, Greek Life",Studying/Homework,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Studying/Homework,Studying/Homework,Chores/Housework,Chores/Housework,Exercise/Sports/Practice,Clubs/Organizations,Work,Work,Work,Work,Social Time,Social Time,Social Time,Social Time,
Graduate Student,DS,Off-Campus Housing,Greek Life,Leisure/Entertainment,Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Class,Exercise/Sports/Practice,Exercise/Sports/Practice,Personal Care,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Social Time,Social Time,Social Time,Leisure/Entertainment,
Senior,"ME, RBE",On-Campus Housing,"Academic Clubs, Greek Life",Social Time,Social Time,Social Time,Social Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Class,Studying/Homework,Meals,Studying/Homework,Studying/Homework,Class,Studying/Homework,Meals,Social Time,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Social Time,
Freshman,ME,On-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Meals,Meals,Class,Meals,Meals,Personal Care,Personal Care,Personal Care,Meals,Personal Care,Personal Care,Personal Care,Personal Care,
Sophomore,CE,Greek Housing,"Varsity Athlete, Academic Clubs, Greek Life",Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Class,Meals,Class,Class,Class,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,
Junior,"ECE, ESS",Off-Campus Housing,"Club Sports, Academic Clubs, Green Team",Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Class,Studying/Homework,Class,Leisure/Entertainment,Studying/Homework,Studying/Homework,Personal Care,Clubs/Organizations,Meals,Leisure/Entertainment,Leisure/Entertainment,Social Time,Social Time,Leisure/Entertainment,
Junior,Management Engineering ,Off-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Exercise/Sports/Practice,Class,Social Time,Social Time,Social Time,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Leisure/Entertainment,Leisure/Entertainment,Sleeping,
Sophomore,CE,Off-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Class,Class,Meals,Class,Class,Studying/Homework,Exercise/Sports/Practice,Meals,Studying/Homework,Studying/Homework,Meals,Studying/Homework,Studying/Homework,Social Time,Social Time,
Junior,RBE,Greek Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Class,Class,Exercise/Sports/Practice,Meals,Class,Studying/Homework,Studying/Homework,Studying/Homework,Exercise/Sports/Practice,Meals,Studying/Homework,Studying/Homework,Social Time,Personal Care,Leisure/Entertainment,Leisure/Entertainment,
Sophomore,ME,Off-Campus Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Exercise/Sports/Practice,Personal Care,Class,Class,Personal Care,Personal Care,Meals,Personal Care,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Studying/Homework,Social Time,Social Time,
Sophomore,ME ,Off-Campus Housing,Varsity Athlete,Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Studying/Homework,Class,Exercise/Sports/Practice,Studying/Homework,Meals,Studying/Homework,Studying/Homework,Social Time,Social Time,Social Time,Social Time,
Sophomore,AE,Off-Campus Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Personal Care,Class,Class,Class,Class,Class,Meals,Personal Care,Personal Care,Personal Care,Personal Care,Meals,Personal Care,Personal Care,Personal Care,Sleeping,
Junior,AE,Off-Campus Housing,Varsity Athlete,Leisure/Entertainment,Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Exercise/Sports/Practice,Meals,Class,Class,Leisure/Entertainment,Social Time,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Studying/Homework,Studying/Homework,Studying/Homework,
Freshman,ME ,On-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Leisure/Entertainment,Class,Meals,Class,Class,Meals,Class,Class,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Other (Please Specify Below),Studying/Homework,Social Time,Social Time,Leisure/Entertainment,Bible study 7-8
Sophomore,CE,Off-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Meals,Class,Class,Meals,Exercise/Sports/Practice,Leisure/Entertainment,Personal Care,Personal Care,Social Time,Social Time,Personal Care,Personal Care,Personal Care,Sleeping,
Freshman,ME,On-Campus Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Class,Class,Meals,Studying/Homework,Studying/Homework,Class,Class,Class,Meals,Exercise/Sports/Practice,Social Time,Social Time,Social Time,Leisure/Entertainment,Leisure/Entertainment,
Freshman,FinTech ,On-Campus Housing,"Varsity Athlete, FCA",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Meals,Class,Class,Class,Studying/Homework,Studying/Homework,Studying/Homework,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Meals,Meals,Meals,Meals,Meals,
Freshman,ME,On-Campus Housing,"Club Sports, Greek Life",Studying/Homework,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Chores/Housework,Class,Meals,Class,Studying/Homework,Class,Meals,Chores/Housework,Exercise/Sports/Practice,Leisure/Entertainment,Leisure/Entertainment,Studying/Homework,Studying/Homework,
Sophomore,ME,Off-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Exercise/Sports/Practice,Personal Care,Class,Meals,Studying/Homework,Class,Studying/Homework,Studying/Homework,Class,Meals,Personal Care,Leisure/Entertainment,Leisure/Entertainment,Sleeping,Sleeping,Sleeping,
Junior,ECE,On-Campus Housing,"Performing Arts, Academic Clubs",Studying/Homework,Studying/Homework,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Work,Work,Work,Studying/Homework,Studying/Homework,Studying/Homework,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Studying/Homework,Studying/Homework,Studying/Homework,
Sophomore,AE ,Off-Campus Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Class,Class,Meals,Class,Studying/Homework,Studying/Homework,Meals,Leisure/Entertainment,Social Time,Social Time,Social Time,Sleeping,Sleeping,
Sophomore,Business ,Commuter,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Traveling/Commuting,Class,Class,Class,Chores/Housework,Meals,Exercise/Sports/Practice,Exercise/Sports/Practice,Class,Meals,Social Time,Personal Care,Chores/Housework,Chores/Housework,Social Time,Social Time,Social Time,
Junior,OIE,Greek Housing,Varsity Athlete,Social Time,Social Time,Social Time,Social Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Class,Class,Class,Class,Leisure/Entertainment,Leisure/Entertainment,Leisure/Entertainment,Leisure/Entertainment,Leisure/Entertainment,Social Time,Social Time,Social Time,
Senior,"CS, IMGD",Off-Campus Housing,"Performing Arts, Academic Clubs, Greek Life",Social Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Studying/Homework,Studying/Homework,Class,Class,Studying/Homework,Studying/Homework,Studying/Homework,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Social Time,Social Time,Social Time,
Junior,ME,Off-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Work,Class,Class,Meals,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Studying/Homework,Studying/Homework,Sleeping,
Freshman,CE ,On-Campus Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Meals,Class,Exercise/Sports/Practice,Meals,Studying/Homework,Studying/Homework,Studying/Homework,Meals,Social Time,Social Time,Social Time,Leisure/Entertainment,Leisure/Entertainment,Sleeping,